solvent_smiles,Boiling Point,Molecular Weight,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Exact Mass,Monoisotopic Mass,Topological Polar Surface Area,Heavy Atom Count,Complexity
CCSCC,92.1,90.19,1.9,0,1,2,90.05,90.05,25.3,5,11.1
CC(C)SSC(C)C,175.5,150.3,2.5,0,2,3,150.05,150.05,50.6,8,42.5
CCCCSCCCC,185.5,146.3,3.4,0,1,6,146.11,146.11,25.3,9,37.8
COS(=O)(=O)OC,188,126.13,-0.3,0,4,2,126,126,61,7,107
COP(=O)(OC)OC,197.2,140.07,-0.5,0,4,3,140.02,140.02,44.8,8,82.4
CCOP(=O)(OCC)OCC,215.5,182.15,0.8,0,4,6,182.07,182.07,44.8,11,113
CCCCOP(=O)(OCCCC)OCCCC,289,266.31,2.9,0,4,12,266.16,266.16,44.8,17,175
CCN(CC)c1ccc2cc(C(=O)O)c(=O)oc2c1,464.7,261.27,3.1,1,5,4,261.1,261.1,66.8,19,400
CN(C)P(N(C)C)N(C)C,176.2,163.2,0.6,0,3,3,163.12,163.12,9.7,10,74
[3H]O,102,20.02,-0.5,1,1,0,20.02,20.02,1,1,0
Cc1ccccc1C,144.5,106.16,3.1,0,0,0,106.08,106.08,0,8,56.4
Clc1ccc(Cl)c(Cl)c1,213.5,181.4,4,0,0,0,179.93,179.93,0,9,94.3
CCOCCOCC,121.4,118.17,0.7,0,2,5,118.1,118.1,18.5,8,31.5
OCCCO,211,76.09,-1,2,2,2,76.05,76.05,40.5,5,12.4
CCCBr,71,122.99,2.1,0,0,1,121.97,121.97,0,4,7.2
COC(C)COC(C)COC(C)CO,291,206.28,0.4,1,4,8,206.15,206.15,47.9,14,129
CC(C)OCCO,142,104.15,0.1,1,2,3,104.08,104.08,29.5,7,35.1
CCCCCCC(C)O,179,130.23,2.9,1,1,5,130.14,130.14,20.2,9,52.5
COC(=O)CCC(=O)OC,196,146.14,0.4,0,4,5,146.06,146.06,52.6,10,114
C=CC(=O)O,142,72.06,0.3,1,2,1,72.02,72.02,37.3,5,55.9
ClCC1CO1,117.9,92.52,0.5,0,1,1,92,92,12.5,5,37.9
CC(C)CC(C)(C)C,99.2,114.23,3.8,0,0,2,114.14,114.14,0,8,54.9
CC(C)CCCCCO,187.5,130.23,2.8,1,1,5,130.14,130.14,20.2,9,50.5
COC(=O)c1ccc(C(C)(C)C)cc1,283,192.25,4,0,2,3,192.12,192.12,26.3,14,195
O=CN1CCOCC1,236.5,115.13,-0.6,0,2,0,115.06,115.06,29.5,8,78.5
CCCCCCCCCCCCO,259,186.33,5.1,1,1,10,186.2,186.2,20.2,13,81.2
CCCCCCCCCCCCCCCC,286.9,226.44,8.3,0,0,13,226.27,226.27,0,16,92.6
Cc1ccc(C(C)(C)C)cc1,193,148.24,4.5,0,0,1,148.13,148.13,0,11,110
CCC(C)OC(C)=O,112,116.16,1.7,0,2,3,116.08,116.08,26.3,8,78.6
CC(=O)OC(C)(C)C,95.1,116.16,1.8,0,2,2,116.08,116.08,26.3,8,89.2
